 names equipos
ST" "Real Valladolid CF"
530 "K. Koindredi
CM" "Valencia CF"
531 "T. Pobega
CM" "Torino F.C."
532 "J. Kamiński
LM" "Lech Poznań"
533 "J. Frimpong
RB RWB" "Bayer 04 Leverkusen"
534 "M. Thiaw
CB" "FC Schalke 04"
535 "M. Balikwisha
LW CAM ST" "Royal Antwerp FC"
536 "L. Delap
ST" "Manchester City"
537 "M. van de Ven
CB LB" "VfL Wolfsburg"
538 "S. Vignato
CF CAM ST" "AC Monza"
539 "M. Lazetić
ST" "AC Milan"
540 "Kepa
GK" Chelsea
541 "O. Tannane
CAM RM" "Göztepe SK"
542 "Gerard Moreno
ST RM" "Villarreal CF"
543 "H. Çalhanoğlu
CM CAM LM" Inter
544 "R. Guerreiro
LB LM" "Borussia Dortmund"
545 "Ricardo Pereira
RB RWB" "Leicester City"
546 "J. Vigón
CM CDM" "Tigres U.A.N.L."
547 "A. Martial
ST LM" "Sevilla FC"
548 "Hwang Ui Jo
ST LW" "FC Girondins de Bordeaux"
549 "P. Onuachu
ST" "KRC Genk"
550 "S. van Beek
CB" "SC Heerenveen"
551 "S. Fofana
CM" "Racing Club de Lens"
552 "M. Brozović
CDM" Inter
553 "R. Brown
CM CDM CAM" "Peterborough United"
554 "T. Bakayoko
CDM CM" "AC Milan"
